,index,product_id,description,details,name,brand_category,is_work,is_nightout,is_daytonight,is_vacation,is_workout,is_weekend,is_coldweather
24,94,01DS48RF5XHBDJM9YSC660YR14,nanushka mitsu vegan leather pant designed cigarette shape tailored high waisted fit tapered design detailed pleat along front flap pocket pair turtleneck sweater complete look,woman clothing pant unknown name detail dtype object,mitsu pleat front cigarette vegan leather pant,woman clothing pant,0.0,1.0,1.0,0.0,0.0,1.0,0.0
25,101,01DPER5W0953YAH19AA4XDV00F,ultimate tee tucking high rise denim pant flattering slim fit henley neckline throwback style half sleeve plus touch stretch super flattering finish,shirt top,scoopneck ribbed henley shirt stripe,shirt top,0.0,0.0,1.0,0.0,0.0,1.0,0.0
26,102,01DVRH4Y8ZB8YTPTZTQZKPPV69,cream silk satin pull silk dry clean made france,clothing beachwear coverups,gansu cropped silk satin wide leg pant,clothing beachwear coverups,0.0,0.0,1.0,0.0,0.0,1.0,0.0
27,103,01DTJ8G50MTEAZ269BY9PDK0MC,cut army green utility twill julian salute workwear rife utilitarian element epaulet patch pocket cinchable belt slant pocket extra wide leg hit ankle shoe block heeled boot birkenstocks even strappy sandal look exactly right think two minute outfit maybe even one main cotton elastane lining polyester viscose dry clean only made italy measurements size chest waist hip length model bust waist hip wearing size,jumpsuit,julian workwear jumpsuit,jumpsuit,1.0,0.0,1.0,0.0,0.0,1.0,0.0
28,109,01DPESC70Q027MGKH56D1JNJHX,best selling jumpsuit back popular demand love wrap tie silhouette slight stretch roomy pocket wide leg kind closet staple wear anywhere anytime,dresses and jumpsuits,wrap tie jumpsuit chambray,dresses and jumpsuits,0.0,0.0,1.0,0.0,0.0,1.0,0.0
29,117,01DVRQECV7C5A5HP72PC1N5VVZ,perfect workday beyond victoria beckham modest dress designed drop sleeve knee length hem relaxed style detailed contrast piping along front back coordinate burgundy ankle boot,woman clothing dress,stretch terry dress,woman clothing dress,1.0,0.0,1.0,0.0,0.0,1.0,0.0
30,125,01DVCSC1S7686AZAWWGN3RKH80,heel measure approximately mm inch snake effect leather cow slip imported,shoe sandal mid heel unknown name detail dtype object,tanya snake effect leather mule,shoe sandal mid heel,0.0,0.0,1.0,0.0,0.0,1.0,0.0
31,142,01DVRHDWGHX8FG6VH1WFKET1N5,frame add casual touch jerry faux shearling jacket detailing contrast horizontal stripe tailored shoulder piece crafted elongated hem open front easy removal pair sleek leather pant complement texture,woman clothing coat unknown name detail dtype object,jerry striped faux fur coat,woman clothing coat,0.0,1.0,1.0,0.0,0.0,0.0,0.0
32,143,01DVPC197YKNS4QNR3HB9Z0WE5,black linen blend concealed zip fastening along side linen rayon imported,clothing dress mini unknown name detail dtype object,chain embellished linen blend mini dress,clothing dress mini,0.0,1.0,0.0,0.0,0.0,1.0,0.0
33,156,01DVP8HWCYG3AP0Z0ZJFVME4W7,heel measure approximately mm inch gold leather slip imported,shoe sandal mid heel unknown name detail dtype object,tanya metallic leather mule,shoe sandal mid heel,1.0,1.0,1.0,1.0,0.0,1.0,0.0
34,160,01DT0DHZZKZ459GTEM63A3J7DT,delicately beaded shimmering sequin elegant sheer mockneck blouse sexy piece give major glamour ensemble,woman apparel top shirt blouse blouse woman unknown name detail dtype object,imanea beaded sequin mockneck blouse,womens apparel tops shirts blouses blouse womens apparel tops shirts blouses going out womens apparel tops shirts blouses editors pick statement tops,0.0,1.0,0.0,0.0,0.0,1.0,0.0
35,167,01DVPMPVY6EMYDH4GSV9EHXTFG,heel measure approximately mm inch white leather cow zip fastening along side imported,shoe boot ankle,este leather ankle boot,shoe boot ankle,0.0,1.0,1.0,0.0,0.0,1.0,0.0
36,177,01DT50Y8ZF07AGZBBMQER9MB9X,heel measure approximately mm inch snake effect leather cow elasticated slingback strap imported,shoe pump mid heel,lauren snake effect leather slingback pump,shoe pump mid heel,1.0,1.0,1.0,0.0,0.0,0.0,0.0
37,178,01DVPPBZAPMTRXPSFXA7CJJ2W3,heel measure approximately mm inch gold mirrored leather calf buckle fastening ankle strap come dust bag made italy,shoe sandal high heel,purist mirrored leather sandal,shoe sandal high heel,0.0,1.0,0.0,0.0,0.0,1.0,0.0
38,186,01DT513RRYT3SKH6X25G5VCH6B,heel measure approximately mm inch mm inch platform black leather lace front imported small size see size fit note,shoe boot ankle,leather ankle boot,shoe boot ankle,0.0,0.0,1.0,0.0,0.0,1.0,0.0
39,202,01DPD9MVZAPGVX5P3AY7Y53X9V,strappy open toe charley sandal feature snakeskin print thick ankle strap stud closure wooden accent comfortable cone heel delivers stylish texture available natural,shoe,charley sandal,shoe,0.0,1.0,0.0,0.0,0.0,1.0,0.0
40,203,01DPGV907RVE6WXD00BN285VQV,quintessentially bohemian flowy black top summer wardrobe staple feminine lace pleat detailing voluminous sleeve wear everything cut short utility trouser vintage inspired denim,top,cali popover,top,0.0,0.0,1.0,1.0,0.0,1.0,0.0
41,226,01DT511MD0Y4H7DZCJTSE2AZQW,heel measure approximately mm inch black leather calf zip fastening along back made italy,shoe boot ankle,ivy leather ankle boot,shoe boot ankle,1.0,0.0,1.0,0.0,0.0,1.0,0.0
42,227,01DWJ9VQESDPPDK4MVDM2R15CV,black wool gabardine concealed hook zip fastening front wool lining cotton lining cupro dry clean made italy large size see size fit note,clothing pant straight leg,wool gabardine straight leg pant,clothing pant straight leg,1.0,1.0,1.0,0.0,0.0,1.0,0.0
43,237,01DVBR574EM61N3H0J8HAR3F8H,slight heel snake effect leather slip imported large size see size fit note,shoe sandal flat,knotted snake effect leather sandal,shoe sandal flat,0.0,0.0,0.0,1.0,0.0,1.0,0.0
44,271,01DT37D30T21NTNYMQD8MZ13PJ,acne studio bastian viper slingback handcrafted italy supple lambskin patchwork design rich earth tone inwardly curved heel sleek profile moderate height make great choice wearing office,woman shoe pump unknown name detail dtype object,bastian viper leather slingback,woman shoe pump,1.0,0.0,1.0,0.0,0.0,1.0,0.0
45,277,01DWJCBPQ8R094AEN2NMJE78BF,heel measure approximately mm inch antique rose suede calf slip made italy,shoe pump mid heel,love suede pump,shoe pump mid heel,1.0,0.0,1.0,0.0,0.0,1.0,0.0
46,284,01DWJCRNW32AK8X4YGYYVDPP2D,beige silk satin slip silk dry clean made france,clothing top tank camis,khiva silk satin camisole,clothing top tank camis,0.0,1.0,1.0,0.0,0.0,1.0,0.0
47,285,01DVVFTSXXB8V4QRX19D8Q03GJ,light blue denim partially concealed button fastening along front cotton polyester elastane machine wash designer wash mid,clothing jean skinny leg,original high rise ankle crop skinny jean,clothing jean skinny leg,0.0,0.0,1.0,0.0,0.0,1.0,0.0
48,292,01DV6HA09G19TFQ7SSM7BXF5BX,givenchy lightly pleated pant crafted crisp wool fall tapered straight leg fit classic prince wale checkered print pair beautifully simple tucked tee chic flat,woman clothing pant unknown name detail dtype object,prince wale check straight leg wool pant,woman clothing pant,1.0,0.0,1.0,0.0,0.0,0.0,0.0
49,301,01DS0RXDFKG62VMQ9TW7A33X6Y,shoe season square toed loafer heel work well everything jean dress heel embossed cow leather apron goat leather stacked leather wrapped heel leather sole rubber forefoot professionally leather clean square toe loafer rubber forefoot pod mule fit true size imported,woman featured black shop unknown name detail dtype object,aslen loafer mule,woman featured black shop,1.0,0.0,1.0,0.0,0.0,1.0,0.0
50,423,01DT517E1NSSWD0Y3ZFF8BRFMZ,olive silk charmeuse slip silk imported,lingerie camisole chemise slip unknown name detail dtype object,lewis silk charmeuse maxi dress,lingerie camisole chemise slip,0.0,0.0,1.0,1.0,0.0,1.0,0.0
51,429,01DS3QDA8713QGCVA788MY3DWX,fashioned high waist fit acler alameda mini skirt tailored line silhouette wrap effect front pocket throughout style detachable belt added definition,woman clothing skirt,alameda high waist wrap effect mini skirt,woman clothing skirt,0.0,1.0,1.0,0.0,0.0,1.0,0.0
52,430,01DSRBC9CEBJXJFD7JGQ9E7T5B,go jean daring snakeskin printed panesl side,kid girl girl bottom,girl python trim jean,just kids girl girl bottom,0.0,0.0,0.0,0.0,0.0,1.0,0.0
53,435,01DVVMB6B1J5FTGP4ZEVK12ECR,perfect workday office easy button shirt frame become staple piece wardrobe crafted pleated cotton laid back silhouette tuck inspired denim add neutral accessory,woman clothing top,easy pleated button cotton shirt,woman clothing top,1.0,0.0,1.0,1.0,0.0,1.0,0.0
54,436,01DWJA72EBF7WH4S7Z2CEE1JHM,gently tailored collared silhouette open v neckline nanushka bambi sweater crafted softly textured fabric marled appearance slightly oversized fit make easy style layered button front shirt solo pair jean,woman clothing top,bambi collared v neck sweater,woman clothing top,1.0,0.0,1.0,0.0,0.0,1.0,0.0
55,446,01DVPP6AP5V44EWB1BVH4DZ4TM,black silk charmeuse lace slip silk dry clean imported,clothing dress mini unknown name detail dtype object,constance lace trimmed ruched silk charmeuse mini dress,clothing dress mini,0.0,1.0,0.0,0.0,0.0,1.0,0.0
56,464,01DVA4ZFKEST038Z045BWTFP77,gravitate towards tomboy shirt silky soft cotton blend classic pinstripe avant garde cut detail back make true favorite like best tucked pair relaxed pant cotton silk hand wash cold made australia sizing x l xl model bust waist hip wearing size,top unknown name detail dtype object,stripe classic open yoke shirt,top,1.0,0.0,1.0,0.0,0.0,1.0,0.0
57,490,01DWFWGZF7H7CYWV2Y6XM05C3W,heel measure approximately mm inch black leather calf zip fastening along side made italy,shoe boot ankle,leather ankle boot,shoe boot ankle,1.0,0.0,1.0,0.0,0.0,1.0,0.0
58,499,01DS1HBV0DFRKDJ843XDMVQEXZ,acler collins twist crepe de chine top designed v neckline cap sleeve twist detail front,woman clothing top,collins twist crepe de chine top,woman clothing top,0.0,1.0,0.0,0.0,0.0,1.0,0.0
59,508,01DSEAJ3M0YTAW3XA16NH0G02R,slide version classic loafer wear loafer mule tailored trouser pair favorite dress make sure hemline let peek flexible leather suede upper breathable synthetic lining insole added stability heel exclusive padding system feature memory foam cushioned insole designed day comfort flexible skid resistant outsole comfort pod bottom,unknown,loafer mule slide,unknown,1.0,0.0,1.0,0.0,0.0,1.0,0.0
60,524,01DSR9CDE483S27S7YX918H0T7,soft wool geometric color blur edge painted roller artisan italy,jewelry accessory accessory wrap scarf evening wrap stole jewelry accessory accessory wrap scarf cold weather jewelry accessory accessory wrap scarf long,handprinted virgin wool scarf,jewelry accessories accessory wraps scarves evening wraps stoles jewelry accessories accessory wraps scarves cold weather jewelry accessories accessory wraps scarves long,0.0,0.0,1.0,0.0,0.0,1.0,0.0
61,607,01DT0DKEEW7A764ZFKW8AJYMPX,birkenstock contoured cork footbed support arch foot cradle heel day comfort stylish metallic slide feature anatomically shaped soft foot bed,shoe shoe sandal slide shoe shoe sandal unknown name detail dtype object,arizona leather sandal,shoe shoe sandal slide shoe shoe sandal flat shoe shoe mules slides,0.0,0.0,0.0,1.0,0.0,1.0,0.0
62,626,01DVBWZDQBJ40DB22CE0C7DMYA,multicolored cotton jersey slip cotton dry clean,clothing top sweatshirt unknown name detail dtype object,oversized tie dyed cotton jersey hoodie,clothing top sweatshirt,0.0,0.0,1.0,0.0,0.0,1.0,0.0
63,628,01DT50R1BR975VSNW3NT4RJKBQ,camel cotton blend corduroy button concealed zip fastening front cotton elastane imported,clothing pant straight leg,le high cotton blend corduroy straight leg pant,clothing pant straight leg,1.0,0.0,1.0,0.0,0.0,1.0,0.0
64,629,01DWFXB7018CKZWK06VPHEF468,multicolored cotton voile button fastening along front cotton dry clean designer color wildberry thicket imported,clothing dress maxi,esme ruffled floral print cotton voile maxi dress,clothing dress maxi,0.0,0.0,1.0,0.0,0.0,1.0,0.0
65,640,01DWFXSVHMEYG0R7TCNGCHEKEG,leopard print silk blend button fastening front fabric silk viscose fabric silk dry clean made italy,clothing top shirt unknown name detail dtype object,leopard print silk blend shirt,clothing top shirt,0.0,1.0,0.0,0.0,0.0,1.0,0.0
66,642,01DTASPFSY8Q446Q3TJK5CGQVH,unknowntoken,woman clothing jean,milla jean long,woman clothing jean,0.0,1.0,1.0,0.0,0.0,1.0,0.0
67,643,01DT8ND4QVV25CDSARCDFCWZ11,equipment incorporates sleek tailoring fall lineup label alloisa pant cut lightweight crepe patterned classic pinstripe tapered slim leg shape coordinating belt emphasizes high rise waist style tucked blouse structured blazer,woman clothing pant unknown name detail dtype object,alloisa belted striped crepe slim leg pant,woman clothing pant,1.0,0.0,1.0,0.0,0.0,1.0,0.0
68,644,01DTASPAEE1A42PZ0KCZ7R078S,l c nevelson sweater one reach chunky piece made durable wool cozy oversized fit designed turtleneck complete rib knit hem additional insulation balance texture leather slim leg pant,woman clothing top unknown name detail dtype object,nevelson cable knit wool turtleneck sweater,woman clothing top,1.0,0.0,1.0,0.0,0.0,1.0,0.0
69,645,01DTASNDTNWEZM6W2CE47VHVPJ,people often think sundress temperature rise zimmermann floral print amari jumpsuit equally good alternative ruched sleeveless bodice designed tie shoulder strap square neckline shirred trim wear wide leg cotton style flat sandal oversized gold jewelry,woman clothing jumpsuit unknown name detail dtype object,amari floral print cotton jumpsuit,woman clothing jumpsuit,0.0,0.0,1.0,0.0,0.0,1.0,0.0
70,647,01DTASNPKTHP79D2QAKBMP818Z,summertime never far away cult brand staud moreau bag featuring knotted macram exterior bag reverse lined leather bucket daily necessity,woman bag tote,moreau macram leather bag,woman bag tote,0.0,0.0,1.0,1.0,0.0,1.0,0.0
71,648,01DT37D12C9NYGHCD6AYGRKT2G,grlfrnd denim stretch denim kendall jean skinny fit flattering high rise waistband black wash pair well everything wardrobe,woman clothing jean,kendall high rise skinny jean,woman clothing jean,1.0,0.0,1.0,0.0,0.0,1.0,0.0
72,651,01DTATEBYYJZ3ZPXR7JRW1FPTT,dark brown textured leather calf open top designer color espresso weighs approximately lb kg made italy,bag shoulder bag shoulder bag,bindle textured leather shoulder bag,bag shoulder bag shoulder bag,1.0,1.0,1.0,0.0,0.0,1.0,0.0
73,652,01DT37CW9048SBBCTQKVG8CPAZ,monse silk blouse patterned belt inspired print throughout tailored fluid fit long sleeve silhouette detailed draped front asymmetric hem belt detail neckline style midi skirt complete look,woman clothing top,belt printed draped silk blouse,woman clothing top,1.0,0.0,1.0,0.0,0.0,0.0,0.0
74,654,01DT37D5VB0SGQQYD4MPKW5D7E,deveaux midi skirt cut lightweight crepe wrap style silhouette asymmetric hem creates fluid ruffle along hem style tucked blouse sandal,woman clothing skirt unknown name detail dtype object,asymmetric wrap effect crepe midi skirt,woman clothing skirt,0.0,0.0,0.0,1.0,0.0,1.0,0.0
75,656,01DT37D05YHQRRGE1KKPBHAAJP,far slingback diana pump sophisticated former princess wale set atop sculptural crystal embellished heel crafted croc embossed leather tapered square toe let peek tailoring straight leg jean,woman shoe pump unknown name detail dtype object,diana crystal embellished croc effect leather pump,woman shoe pump,1.0,1.0,1.0,0.0,0.0,0.0,0.0
76,658,01DPH1EQGAW1S5C3XP0YEQ4J5N,polished modern top pair perfectly pencil skirt high waisted anything else new wrinkle resistant crepe fabric texture making ideal travel wearing repeatedly suspect pro tip pair pant pencil skirt crepe got modern spin suit,suiting,cropped long sleeve top crepe,suiting,0.0,0.0,1.0,0.0,0.0,1.0,0.0
77,664,01DTATDR81EZ9S7DTYW3NE1QH0,acler button shirt perfect nine five wear crafted lightweight cotton poplin shirt designed vertical stripe print gathered puff sleeve dress look pairing neutral trouser leather loafer,woman clothing top,knightley striped cotton voile shirt,woman clothing top,1.0,0.0,1.0,0.0,0.0,1.0,0.0
78,665,01DTATC3SS48V4SCBSXSP0S4E5,prada polka dot dress classic mock neck cinched waist creates defined shape cut fluid crepe de chine sleeveless style feature micro pleated line skirt match accessory mother pearl button,woman clothing dress unknown name detail dtype object,button detailed polka dot crepe de chine midi dress,woman clothing dress,1.0,0.0,1.0,0.0,0.0,1.0,0.0
79,666,01DTATCP2AKWS2P1FJGP9PNDJ1,cozy attico sweater designed wool modern contrast zebra print fitted ribbed hem insulation style work well layering piece try styling silk skirt ankle strap sandal,woman clothing top,printed wool sweater,woman clothing top,0.0,0.0,1.0,0.0,0.0,1.0,0.0
80,668,01DTATD9TRRGQETK31ECCMB464,partow crepe everly midi skirt tailored high rise fit designed line silhouette fluid shape detailed concealed front pocket relaxed pleat style matching dress complete look,woman clothing skirt,everly line crepe midi skirt,woman clothing skirt,0.0,0.0,1.0,0.0,0.0,1.0,0.0
81,674,01DTATD00Z52Q6R1DRG5XWN1JJ,rosetta getty wool blend pullover sweater designed crew neckline tailored slim fit long sleeve shape detailed slit detailing along hem cuff style satin maxi skirt complete look,woman clothing top,cropped slit wool blend sweater,woman clothing top,1.0,0.0,1.0,0.0,0.0,1.0,0.0
82,675,01DTATE20BG80Z0SABYDKDCK3B,made italy prada pointed toe pump crafted glossy textured saffiano leather classic hard wearing worn everything tailored suiting distressed denim,woman shoe pump,glossed textured leather pump,woman shoe pump,1.0,1.0,0.0,0.0,0.0,1.0,0.0
83,680,01DTATEGRBVT69GXA1JCPJ0QFK,dolce gabbana refined element classic suiting fall runway fact entire section dedicated traditional pencil skirt crafted crepe midi length silhouette tuck high rise waist peplum jacket style,woman clothing skirt,crepe midi skirt,woman clothing skirt,1.0,0.0,1.0,0.0,0.0,0.0,0.0
84,683,01DT8NCNDBMNDQQREMHH7DS6BV,featuring checked print reversible construction fall perfect outerwear piece ganni need handle ever changing swing fall weather one side warm wool quilted style rain sunny day cinch waist detachable belt embrace neutral hue tonal turtleneck knitted skirt,woman clothing coat unknown name detail dtype object,reversible belted wool blend coat,woman clothing coat,1.0,0.0,1.0,0.0,0.0,1.0,0.0
85,685,01DTATFDX36XQB6JG6JZ58AZ98,sally la pointe matte crepe scoop neck tank top feature fitted bodice sleeveless silhouette,woman clothing top unknown name detail dtype object,matte crepe scoop neck tank top,woman clothing top,0.0,0.0,1.0,0.0,0.0,1.0,0.0
86,686,01DTATET7EBBP4SDQ4NSAMWAWX,heel measure approximately mm inch brown leather calf slip made italy large size see size fit note,shoe pump high heel,leather pump,shoe pump high heel,1.0,1.0,0.0,0.0,0.0,1.0,0.0
87,687,01DTATF465YMS4F4Q9Y642PR3C,beyond leopard season favorite neutral take shape inspired shirt dress complete subdued python print cut classic button silhouette contrasting cuff waistband chic simple piece ideal night town paired white sneaker laid back night,woman clothing dress,christabella snakeskin shirt dress,woman clothing dress,1.0,1.0,1.0,0.0,0.0,1.0,0.0
88,688,01DTJ8ES5SWMYJAHY1JJDGTX3Z,combining two sartorial element embody autumn thin wale corduroy rich amber red big win belted shirtdress keep warm throughout winter wear sneaker knee high boot tights later cotton machine wash made usa model bust waist hip wearing size x,dress,cameron dress,dress,0.0,0.0,1.0,0.0,0.0,1.0,0.0
89,690,01DTATH3F9R1E3ECWZJTKD5MJA,heel measure approximately mm inch navy suede goat slip made italy large size see size fit note,shoe pump mid heel,romy suede pump,shoe pump mid heel,1.0,0.0,1.0,0.0,0.0,0.0,0.0
90,691,01DTATG6BVE7XFNBRA63DZ6JEN,emilia wickstead eudora crepe top designed notched collar lapel short sleeve wear tucked brand jana pant mirror pre fall lookbook styling,woman clothing top,eudora crepe blazer top,woman clothing top,1.0,0.0,1.0,0.0,0.0,1.0,0.0
91,694,01DTATGB1XKDJJ9AK0YV1R5JG5,navy textured satin button fastening front triacetate polyester mother pearl vietnam,clothing top blouse unknown name detail dtype object,rae pussy bow textured satin shirt,clothing top blouse,1.0,0.0,1.0,0.0,0.0,0.0,0.0
92,695,01DTATGG2XJ7QTQC6A4PHQRYW5,alexis calixte top vintage feel somehow beautifully suit modern wardrobe made smoky black chiffon white dotted motif sport feminine pussy bow neck tie drape past waist cropped sleeve consider tucking pair high waisted trouser create defined shape,woman clothing top unknown name detail dtype object,calixte pussy bow chiffon top,woman clothing top,1.0,1.0,1.0,0.0,0.0,1.0,0.0
93,696,01DTATDK8JN8JKG4WERNMTQPB7,salvatore ferragamo printed silk blouse designed scarf neckline straight silhouette cuffed long sleeve,woman clothing top,silk chain link printed scarf neck blouse,woman clothing top,1.0,0.0,1.0,0.0,0.0,1.0,0.0
94,699,01DTATGN3YQGYEPCXAD0E207TP,khaite vanessa skinny jean everyday wardrobe essential designed ultra flattering high rise waist black style classic five pocket construction wearing simple tee pointed flat,woman clothing jean,vanessa high rise straight leg jean,woman clothing jean,1.0,1.0,1.0,0.0,0.0,1.0,0.0
95,700,01DTATGSMSV7FJYTPVAYEHPD8Z,multicolored silk crepe slip silk lining polyester dry clean imported,clothing dress maxi,belted lace trimmed printed silk crepe maxi dress,clothing dress maxi,0.0,0.0,1.0,1.0,0.0,1.0,0.0
96,701,01DTATGYW72E9WEZHCKJBDFTCT,past season mule replaced stilleto heel fashion girl go versatility wearability classic construction raffia composition vacation ready sandal look great worn white maxi dress ruffled blouse,woman shoe sandal unknown name detail dtype object,bou raffia heeled mule,woman shoe sandal,0.0,0.0,1.0,1.0,0.0,1.0,0.0
97,703,01DTHXY8K9109WNWYRRQRNHWBN,isabel marant welly shirt cut oversized fit enhanced season prominent shoulder made cotton poplin striped motif draped scarf inspired cowl neck style tapered wool trouser complement tailoring,woman clothing top,welly striped cotton blend shirt,woman clothing top,1.0,0.0,1.0,0.0,0.0,0.0,0.0
98,706,01DTJ8BNRJCMD36E0NY19MKZD3,known clean line manu atelier signature pristine mini bag handcrafted textured leather boxy silhouette open twill lined interior discreet zipped pocket smaller valuable adjust contrasting shoulder strap carry crossbody,woman bag shoulder bag,pristine mini two tone leather shoulder bag,woman bag shoulder bag,0.0,0.0,1.0,0.0,0.0,1.0,0.0
